,district,building_type,heat_source,value
5771,"Karlsruhe, Kreisfreie Stadt",38,4,0.0762
5772,"Karlsruhe, Kreisfreie Stadt",1,4,0.2914
5773,"Karlsruhe, Kreisfreie Stadt",9,4,0.0922
5774,"Karlsruhe, Kreisfreie Stadt",6,4,0.2081
5775,"Karlsruhe, Kreisfreie Stadt",11,2,0.2486
5776,"Karlsruhe, Kreisfreie Stadt",38,2,0.1106
5777,"Karlsruhe, Kreisfreie Stadt",1,2,0.385
5778,"Karlsruhe, Kreisfreie Stadt",9,2,0.1608
5779,"Karlsruhe, Kreisfreie Stadt",6,2,0.3327
5780,"Karlsruhe, Kreisfreie Stadt",11,3,0.0516
5781,"Karlsruhe, Kreisfreie Stadt",38,3,0.0112
5782,"Karlsruhe, Kreisfreie Stadt",1,3,0.1162
5783,"Karlsruhe, Kreisfreie Stadt",9,3,0.0324
5784,"Karlsruhe, Kreisfreie Stadt",6,3,0.0831
5785,"Karlsruhe, Kreisfreie Stadt",11,1,0.4134
5786,"Karlsruhe, Kreisfreie Stadt",38,1,0.1188
5787,"Karlsruhe, Kreisfreie Stadt",1,1,0.7336
5788,"Karlsruhe, Kreisfreie Stadt",9,1,0.2239
5789,"Karlsruhe, Kreisfreie Stadt",6,1,0.6192
5790,Karlsruhe,100,0,0.6777
5791,Karlsruhe,100,4,0.2503
5792,Karlsruhe,100,2,0.3252
5793,Karlsruhe,100,3,0.1155
5794,Karlsruhe,100,1,0.58
5795,Karlsruhe,1,0,0.828
5796,Karlsruhe,11,0,0.6339
5797,Karlsruhe,9,0,0.4184
5798,Karlsruhe,38,0,0.2896
5799,Karlsruhe,6,0,0.7652
5800,Karlsruhe,1,4,0.3356
5801,Karlsruhe,11,4,0.1864
5802,Karlsruhe,9,4,0.1254
5803,Karlsruhe,38,4,0.09
5804,Karlsruhe,6,4,0.2745
5805,Karlsruhe,1,2,0.4142
5806,Karlsruhe,11,2,0.2744
5807,Karlsruhe,9,2,0.1738
5808,Karlsruhe,38,2,0.1465
5809,Karlsruhe,6,2,0.3752
5810,Karlsruhe,1,3,0.1634
5811,Karlsruhe,11,3,0.0799
5812,Karlsruhe,9,3,0.0434
5813,Karlsruhe,38,3,0.03
5814,Karlsruhe,6,3,0.1295
5815,Karlsruhe,1,1,0.7477
5816,Karlsruhe,11,1,0.4967
5817,Karlsruhe,9,1,0.3189
5818,Karlsruhe,38,1,0.1839
5819,Karlsruhe,6,1,0.6494
5820,Rastatt,100,0,0.7582
5821,Rastatt,100,4,0.2731
5822,Rastatt,100,2,0.4046
5823,Rastatt,100,3,0.1408
5824,Rastatt,100,1,0.6657
5825,Rastatt,1,0,0.8686
5826,Rastatt,38,0,0.3161
5827,Rastatt,11,0,0.6823
5828,Rastatt,6,0,0.7716
5829,Rastatt,9,0,0.477
5830,Rastatt,1,4,0.3326
5831,Rastatt,38,4,0.0944
5832,Rastatt,11,4,0.1942
5833,Rastatt,6,4,0.2648
5834,Rastatt,9,4,0.1482
5835,Rastatt,1,2,0.4621
5836,Rastatt,38,2,0.1868
5837,Rastatt,11,2,0.3446
5838,Rastatt,6,2,0.4434
5839,Rastatt,9,2,0.2425
5840,Rastatt,1,3,0.1717
5841,Rastatt,38,3,0.0353
5842,Rastatt,11,3,0.0966
5843,Rastatt,6,3,0.1536
5844,Rastatt,9,3,0.0682
5845,Rastatt,1,1,0.8011
5846,Rastatt,38,1,0.2002
5847,Rastatt,11,1,0.5241
5848,Rastatt,6,1,0.6571
5849,Rastatt,9,1,0.36
5850,"Heidelberg, Kreisfreie Stadt",100,0,0.4304
5851,"Heidelberg, Kreisfreie Stadt",100,4,0.1313
5852,"Heidelberg, Kreisfreie Stadt",100,2,0.1817
5853,"Heidelberg, Kreisfreie Stadt",100,3,0.0475
5854,"Heidelberg, Kreisfreie Stadt",100,1,0.3508
5855,"Heidelberg, Kreisfreie Stadt",11,0,0.4895
5856,"Heidelberg, Kreisfreie Stadt",6,0,0.6437
5857,"Heidelberg, Kreisfreie Stadt",38,0,0.1603
5858,"Heidelberg, Kreisfreie Stadt",9,0,0.2529
5859,"Heidelberg, Kreisfreie Stadt",1,0,0.771
5860,"Heidelberg, Kreisfreie Stadt",11,4,0.1217
5861,"Heidelberg, Kreisfreie Stadt",6,4,0.2005
5862,"Heidelberg, Kreisfreie Stadt",38,4,0.0432
5863,"Heidelberg, Kreisfreie Stadt",9,4,0.0576
5864,"Heidelberg, Kreisfreie Stadt",1,4,0.2876
5865,"Heidelberg, Kreisfreie Stadt",11,2,0.1693
5866,"Heidelberg, Kreisfreie Stadt",6,2,0.2908
5867,"Heidelberg, Kreisfreie Stadt",38,2,0.0717
5868,"Heidelberg, Kreisfreie Stadt",9,2,0.0788
5869,"Heidelberg, Kreisfreie Stadt",1,2,0.3796
5870,"Heidelberg, Kreisfreie Stadt",11,3,0.0262
5871,"Heidelberg, Kreisfreie Stadt",6,3,0.0882
5872,"Heidelberg, Kreisfreie Stadt",38,3,0.0129
5873,"Heidelberg, Kreisfreie Stadt",9,3,0.0155
5874,"Heidelberg, Kreisfreie Stadt",1,3,0.1176
5875,"Heidelberg, Kreisfreie Stadt",11,1,0.3731
5876,"Heidelberg, Kreisfreie Stadt",6,1,0.534
5877,"Heidelberg, Kreisfreie Stadt",38,1,0.093
5878,"Heidelberg, Kreisfreie Stadt",9,1,0.1946
5879,"Heidelberg, Kreisfreie Stadt",1,1,0.6923
5880,"Mannheim, Kreisfreie Stadt",100,0,0.4513
5881,"Mannheim, Kreisfreie Stadt",100,4,0.1481
5882,"Mannheim, Kreisfreie Stadt",100,2,0.2754
5883,"Mannheim, Kreisfreie Stadt",100,3,0.0631
5884,"Mannheim, Kreisfreie Stadt",100,1,0.3093
5885,"Mannheim, Kreisfreie Stadt",6,0,0.7145
5886,"Mannheim, Kreisfreie Stadt",1,0,0.8035
5887,"Mannheim, Kreisfreie Stadt",11,0,0.595
5888,"Mannheim, Kreisfreie Stadt",9,0,0.3427
5889,"Mannheim, Kreisfreie Stadt",38,0,0.2415
5890,"Mannheim, Kreisfreie Stadt",6,4,0.2087
5891,"Mannheim, Kreisfreie Stadt",1,4,0.2947
5892,"Mannheim, Kreisfreie Stadt",11,4,0.1857
5893,"Mannheim, Kreisfreie Stadt",9,4,0.1097
5894,"Mannheim, Kreisfreie Stadt",38,4,0.0837
5895,"Mannheim, Kreisfreie Stadt",6,2,0.3905
5896,"Mannheim, Kreisfreie Stadt",1,2,0.4522
5897,"Mannheim, Kreisfreie Stadt",11,2,0.3648
5898,"Mannheim, Kreisfreie Stadt",9,2,0.218
5899,"Mannheim, Kreisfreie Stadt",38,2,0.1678
5900,"Mannheim, Kreisfreie Stadt",6,3,0.1098
5901,"Mannheim, Kreisfreie Stadt",1,3,0.1364
5902,"Mannheim, Kreisfreie Stadt",11,3,0.077
5903,"Mannheim, Kreisfreie Stadt",9,3,0.0438
5904,"Mannheim, Kreisfreie Stadt",38,3,0.0287
5905,"Mannheim, Kreisfreie Stadt",6,1,0.5865
5906,"Mannheim, Kreisfreie Stadt",1,1,0.7113
5907,"Mannheim, Kreisfreie Stadt",11,1,0.3928
5908,"Mannheim, Kreisfreie Stadt",9,1,0.1987
5909,"Mannheim, Kreisfreie Stadt",38,1,0.1159
5910,Neckar-Odenwald-Kreis,11,0,0.6644
5911,Neckar-Odenwald-Kreis,1,0,0.8752
5912,Neckar-Odenwald-Kreis,9,0,0.4145
5913,Neckar-Odenwald-Kreis,6,0,0.802
5914,Neckar-Odenwald-Kreis,38,4,0.1236
5915,Neckar-Odenwald-Kreis,11,4,0.2211
